,Name,Mol. wt.,smiles,kcal/mol,ΔhydH∞/kJ mol-1
224,Methyl tert-butyl ether ,88.148,COC(C)(C)C,-11.6395922,-48.7
225,"Methyl 2,2-dimethylpropanoate",116.158,COC(=O)C(C)(C)C,-11.0420772,-46.2
226,Methyl formate,60.052,COC=O,-7.648192,-32.0
227,Methyl hexanoate,130.185,CCCCCC(=O)OC,-13.0736282,-54.7
228,Methyl isobutanoate,102.132,COC(=O)C(C)C,-10.994276,-46.0
229,4-Methylmorpholine,101.147,CN1CCOCC1,-16.4197122,-68.7
230,1-Methylnaphthalene,142.197,Cc1cccc2ccccc12,-10.75527,-45.0
231,2-Methylnaphthalene,142.197,Cc1ccc2ccccc2c1,-10.7313694,-44.9
232,2-Methylpentane,86.175,CCCC(C)C,-7.289683,-30.5
233,3-Methylpentane,86.175,CCC(C)CC,-8.7954208,-36.8
234,Methyl pentanoate,116.158,CCCCC(=O)OC,-12.0459024,-50.4
235,4-Methyl-2-pentanol,102.174,CC(C)CC(C)O,-16.7065194,-69.9
236,4-Methyl-2-pentanone,100.158,CC(C)CC(C)=O,-10.6596676,-44.6
237,1-Methylpiperidine,99.174,[H+].[Cl-].CN1CCCCC1,-15.7265948,-65.8
238,2-Methylpropanenitrile,69.106,CC(C)C#N,-9.56024,-40.0
239,Methyl propanoate,88.106,CCC(=O)OC,-10.635767,-44.5
240,2-Methyl-1-propanol,74.121,CC(C)CO,-14.3881612,-60.2
241,2-Methyl-2-propanol,74.121,CC(C)(C)O,-15.0334774,-62.9
242,Methyl propyl ether,74.121,CCCOC,-9.082228,-38.0
243,2-Methylpyridine,93.127,Cc1ccccn1,-12.0220018,-50.3
244,3-Methylpyridine,93.127,Cc1cccnc1,-12.0220018,-50.3
245,4-Methylpyridine,93.127,Cc1ccncc1,-12.3805108,-51.8
246,N-Methylpyrrolidine ,85.148,CN1CCCC1,-15.1529804,-63.4
247,2-Methyltetrahydrofuran,86.132,CC1CCCO1,-12.2849084,-51.4
248,Morpholine,87.12,C1COCCN1,-16.610917,-69.5
249,Naphthalene,128.171,c1ccc2ccccc2c1,-10.2294568,-42.8
250,Neopentane,72.149,CC(C)(C)C,-5.5927404,-23.4
251,Nitric oxide,30.006,N=O,-2.8441714,-11.9
252,Nitrobenzene,123.11,[O-][N+](=O)c1ccccc1,-10.4684628,-43.8
253,Nitroethane,75.067,CC[N+]([O-])=O,-7.767695,-32.5
254,Nitromethane,61.041,C[N+]([O-])=O,-8.5325142,-35.7
255,2-Nitrophenol,139.109,Oc1ccccc1[N+]([O-])=O,-11.9024988,-49.8
256,3-Nitrophenol,139.109,Oc1cccc(c1)[N+]([O-])=O,-16.1807062,-67.7
257,4-Nitrophenol,139.109,Oc1ccc(cc1)[N+]([O-])=O,-16.3958116,-68.6
258,1-Nitropropane,89.094,CCC[N+]([O-])=O,-8.2218064,-34.4
259,2-Nitropropane,89.094,CC(C)[N+]([O-])=O,-8.1501046,-34.1
260,2-Nitrotoluene,137.137,Cc1ccccc1[N+]([O-])=O,-11.0898784,-46.4
261,3-Nitrotoluene,137.137,Cc1cccc(c1)[N+]([O-])=O,-9.201731,-38.5
262,Nitrous oxide,44.012,[N-]=[N+]=O,-4.7323188,-19.8
263,2-Nonanone,142.238,CCCCCCCC(C)=O,-15.6070918,-65.3
264,5-Nonanone,142.238,CCCCC(=O)CCCC,-15.0095768,-62.8
265,Octanal,128.212,CCCCCCCC=O,-11.6634928,-48.8
266,Octane,114.229,CCCCCCCC,-8.604216,-36.0
267,1-Octanol,130.228,CCCCCCCCO,-17.7103446,-74.1
268,2-Octanone,128.212,CCCCCCC(C)=O,-13.9340498,-58.3
269,1-Octene,112.213,CCCCCCC=C,-9.3690352,-39.2
270,Octylamine,129.244,CCCCCCCCN,-12.5000138,-52.3
271,Pentachlorobenzene,250.337,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-9.5363394,-39.9
272,Pentafluoroethane,120.021,FC(F)C(F)(F)F,-5.138629,-21.5
273,"2,2,3,3,3-Pentafluoro-1-propanol",150.047,OCC(F)(F)C(F)(F)F,-12.4044114,-51.9
274,Pentanal,86.132,CCCCC=O,-10.2533574,-42.9
275,Pentane,72.149,CCCCC,-6.7638698,-28.3
276,"1,5-Pentanediamine",102.178,NCCCCCN,-22.7294706,-95.1
277,Pentanedinitrile,94.115,N#CCCCC#N,-15.176881,-63.5
278,Pentanenitrile,83.132,CCCCC#N,-10.8986736,-45.6
279,1-Pentanol,88.148,CCCCCO,-14.7944714,-61.9
280,2-Pentanol,88.148,CCCC(C)O,-15.1290798,-63.3
281,3-Pentanol,88.148,CCC(O)CC,-14.2447576,-59.6
282,2-Pentanone,86.132,CCCC(C)=O,-10.8269718,-45.3
283,3-Pentanone,86.132,CCC(=O)CC,-11.8546976,-49.6
284,Pentyl acetate,130.185,CCCCCOC(C)=O,-13.2170318,-55.3
285,Pentylamine,87.164,CCCCCN,-14.8422726,-62.1
286,Pentylbenzene,148.245,CCCCCc1ccccc1,-11.830797,-49.5
287,Pentyl formate,116.158,CCCCCOC=O,-11.4961886,-48.1
288,Hexafluoropropene,150.022,FC(F)=C(F)C(F)(F)F,-4.1587044,-17.4
289,Phenol,94.111,Oc1ccccc1,-13.7906462,-57.7
290,1-Phenyl-1-propanone,134.174,CCC(=O)c1ccccc1,-14.7944714,-61.9
291,Piperidine,85.148,C1CCNCC1,-15.6309924,-65.4
292,Propanal,58.079,CCC=O,-9.4168364,-39.4
293,Propanamide,73.094,CCC(N)=O,-17.5430404,-73.4
294,Propane,44.096,CCC,-4.8757224,-20.4
295,"1,3-Propanediamine",74.124,NCCCN,-20.4589136,-85.6
296,"1,3-Propanediol",76.095,OCCCO,-19.3833866,-81.1
297,Propanenitrile,55.079,CCC#N,-9.440737,-39.5
298,1-Propanethiol,76.161,CCCS,-7.2179812,-30.2
299,Propanoic acid,74.079,CCC(O)=O,-13.503839,-56.5
300,1-Propanol,60.095,CCCO,-14.3164594,-59.9
301,2-Propanol,60.095,CC(C)O,-13.9101492,-58.2
302,Propene,42.08,CC=C,-5.1625296,-21.6
303,2-Propoxyethanol,104.148,CCCOCCO,-16.6348176,-69.6
304,Propyl acetate,102.132,CCCOC(C)=O,-11.6395922,-48.7
305,Propylamine,59.11,CCCN,-13.384336,-56.0
306,Propylbenzene,120.191,CCCc1ccccc1,-8.6998184,-36.4
307,Propyl butanoate,130.185,CCCOC(=O)CCC,-13.1214294,-54.9
308,Propyl formate,88.106,CCCOC=O,-9.679743,-40.5
309,Propyl propanoate,116.158,CCCOC(=O)CC,-12.2371072,-51.2
310,Propyne,40.064,CC#C,-3.7284936,-15.6
311,Pyridine,79.101,c1ccncc1,-10.0621526,-42.1
312,Quinoline,129.159,c1ccc2ncccc2c1,-13.9101492,-58.2
313,Styrene,104.15,C=Cc1ccccc1,-6.7877704,-28.4
314,Succinonitrile,80.088,N#CCCC#N,-13.9101492,-58.2
315,"1,2,3,4-Tetrachlorobenzene",215.892,Clc1ccc(Cl)c(Cl)c1Cl,-8.36521,-35.0
316,"1,1,1,2-Tetrachloroethane",167.849,ClCC(Cl)(Cl)Cl,-8.6520172,-36.2
317,"1,1,2,2-Tetrachloroethane",167.849,ClC(Cl)C(Cl)Cl,-8.3174088,-34.8
318,Tetrachloroethene,165.833,ClC(Cl)=C(Cl)Cl,-9.918749,-41.5
319,Tetrachloromethane,153.823,ClC(Cl)(Cl)Cl,-7.289683,-30.5
320,Tetraethylene glycol dimethyl ether,222.279,COCCOCCOCCOCCOC,-30.114756,-126.0
321,"1,1,1,2-Tetrafluoroethane",102.031,FCC(F)(F)F,-5.3059332,-22.2
322,Tetrafluoroethene,100.015,FC(F)=C(F)F,-3.6089906,-15.1
323,Tetrafluoromethane,88.005,FC(F)(F)F,-3.226581,-13.5
324,"2,2,3,3-Tetrafluoro-1-propanol",132.057,OCC(F)(F)C(F)F,-13.8384474,-57.9
325,Tetrahydrofuran,72.106,C1CCOC1,-11.3049838,-47.3
326,Tetrahydropyran,86.132,C1CCOCC1,-11.6873934,-48.9
327,Thiophene,84.14,s1cccc1,-7.1462794,-29.9
328,Toluene,92.139,Cc1ccccc1,-7.7437944,-32.4
329,Tribromomethane,252.731,BrC(Br)Br,-8.5564148,-35.8
330,"1,2,3-Trichlorobenzene",181.447,Clc1cccc(Cl)c1Cl,-7.7915956,-32.6
331,"1,3,5-Trichlorobenzene",181.447,Clc1cc(Cl)cc(Cl)c1,-8.1740052,-34.2
332,"1,1,1-Trichloroethane",133.404,CC(Cl)(Cl)Cl,-6.8594722,-28.7
333,"1,1,2-Trichloroethane",133.404,ClCC(Cl)Cl,-7.767695,-32.5
334,Trichloroethene,131.388,ClC=C(Cl)Cl,-7.6959932,-32.2
335,Trichlorofluoromethane,137.368,FC(Cl)(Cl)Cl,-4.7323188,-19.8
336,Trichloromethane,119.378,ClC(Cl)Cl,-8.006701,-33.5
337,"1,1,2-Trichloro-1,2,2-trifluoroethane",187.375,FC(F)(Cl)C(F)(Cl)Cl,-6.8833728,-28.8
338,Triethylamine,101.19,CCN(CC)CC,-16.6587182,-69.7
339,Triethylene glycol dimethyl ether,178.227,COCCOCCOCCOC,-24.4742144,-102.4
340,"2,2,2-Trifluoroethanol",100.039,OCC(F)(F)F,-11.9981012,-50.2
341,Trifluoromethane,70.014,FC(F)F,-5.4015356,-22.6
342,"1,1,1-Trifluoro-2-propanol, (±)-",114.066,CC(O)C(F)(F)F,-12.786821,-53.5
343,Trimethylamine,59.11,CN(C)C,-12.5956162,-52.7
344,"1,2,3-Trimethylbenzene",120.191,Cc1cccc(C)c1C,-8.9388244,-37.4
345,"1,2,4-Trimethylbenzene",120.191,Cc1ccc(C)c(C)c1,-8.7476196,-36.6
346,"1,3,5-Trimethylbenzene",120.191,Cc1cc(C)cc(C)c1,-9.3451346,-39.1
347,"2,2,4-Trimethylpentane",114.229,CC(C)CC(C)(C)C,-7.409186,-31.0
348,"2,3,4-Trimethylpentane",114.229,CC(C)C(C)C(C)C,-9.201731,-38.5
